,customer_id,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure
0,3432,Cloney,Cloney,Female,99,1988-11-27,Junior Executive,Argiculture,Mass Customer,No,Yes,2.0
1,1452,Hamber,Hamber,Male,99,1955-12-31,Safety Technician III,Retail,Mass Customer,No,No,20.0
2,2064,Jaffrey,Jaffrey,Male,99,1969-05-19,VP Marketing,Health,Mass Customer,No,Yes,18.0
3,3778,Redborn,Redborn,Male,99,1971-06-09,Dental Hygienist,Health,High Net Worth,No,No,10.0
4,561,Burkill,Burkill,Female,99,1977-08-15,Tax Accountant,,Mass Customer,No,No,12.0
5,1282,Pidler,Pidler,Male,99,1980-11-15,Programmer Analyst III,Entertainment,Affluent Customer,No,Yes,14.0
6,2509,Beadles,Beadles,Male,99,1971-07-07,Help Desk Technician,Financial Services,Mass Customer,No,No,7.0
7,758,Birrel,Birrel,Female,99,1967-04-07,,Manufacturing,High Net Worth,No,Yes,11.0
8,3607,Blaydes,Blaydes,Male,99,2001-05-22,Clinical Specialist,Health,Mass Customer,No,No,1.0
9,2181,Roxby,Roxby,Male,99,1974-07-17,Account Executive,IT,Mass Customer,No,Yes,8.0
10,2472,Element,Element,Male,99,1989-06-02,Product Engineer,Health,High Net Worth,No,Yes,16.0
11,182,Dahlman,Dahlman,Male,99,1992-11-20,Sales Associate,Financial Services,Affluent Customer,No,Yes,7.0
12,555,Senior,Senior,Male,99,1970-11-08,Junior Executive,Property,Mass Customer,No,No,4.0
13,3878,Digges,Digges,Male,99,1978-02-24,Programmer III,,Mass Customer,No,No,9.0
14,1364,Cabbell,Cabbell,Male,99,1978-04-20,Junior Executive,Manufacturing,Mass Customer,No,No,21.0
15,2402,Strafen,Strafen,Female,99,1957-06-07,Cost Accountant,Financial Services,Mass Customer,No,Yes,8.0
16,173,Hanselmann,Hanselmann,Female,99,1997-01-02,General Manager,Health,Affluent Customer,No,No,1.0
17,794,Ommundsen,Ommundsen,Male,99,1955-05-12,Compensation Analyst,Financial Services,Affluent Customer,No,Yes,16.0
18,1457,Slixby,Slixby,Female,99,1978-08-20,Speech Pathologist,,Affluent Customer,No,Yes,12.0
19,1380,Clavey,Clavey,Female,99,1998-09-30,Financial Analyst,Financial Services,Mass Customer,No,No,3.0
20,2354,Fisbey,Fisbey,Female,99,1958-12-19,Product Engineer,Retail,Mass Customer,No,No,17.0
21,3496,Burnyeat,Burnyeat,Male,99,1986-04-25,Editor,Manufacturing,Mass Customer,No,Yes,19.0
22,3815,Gasparro,Gasparro,Male,99,1981-04-19,Librarian,Entertainment,Mass Customer,No,Yes,5.0
23,2332,Goodere,Goodere,Male,99,1977-04-20,Developer III,Property,High Net Worth,No,Yes,10.0
24,158,Odams,Odams,Male,99,1984-09-03,Internal Auditor,,Affluent Customer,No,No,5.0
25,3347,,,Male,99,1985-11-08,Computer Systems Analyst II,Entertainment,High Net Worth,No,Yes,18.0
26,381,Castleman,Castleman,Female,99,1996-11-30,Sales Associate,,Affluent Customer,No,No,1.0
27,2058,Wickersham,Wickersham,Female,99,1978-02-04,Database Administrator I,Argiculture,High Net Worth,No,No,7.0
28,1098,Crow,Crow,Female,99,1989-02-01,Administrative Assistant IV,Financial Services,Mass Customer,No,Yes,12.0
29,286,Canaan,Canaan,Male,99,1989-08-01,Accounting Assistant II,Manufacturing,Affluent Customer,No,Yes,11.0
30,3992,Tireman,Tireman,Male,99,1980-04-02,Database Administrator IV,Manufacturing,Affluent Customer,No,Yes,18.0
31,3990,Hagger,Hagger,Male,99,1998-03-05,Desktop Support Technician,Health,High Net Worth,No,No,1.0
32,11,Bisatt,Bisatt,Male,99,1954-04-30,,Property,Mass Customer,No,No,9.0
33,3968,Kroch,Kroch,Female,99,1977-12-22,,Property,High Net Worth,No,No,22.0
34,2884,Conneely,Conneely,Female,99,1962-01-06,Assistant Professor,,Mass Customer,No,No,15.0
35,3323,Hamshar,Hamshar,Male,99,1973-03-01,Account Representative I,Health,High Net Worth,No,No,8.0
36,2870,Chazerand,Chazerand,Male,99,1957-12-26,,,Mass Customer,No,No,11.0
37,3660,Hothersall,Hothersall,Male,99,1981-03-14,Administrative Assistant IV,Financial Services,Mass Customer,No,No,7.0
38,1048,Lamming,Lamming,Male,99,1976-06-08,Internal Auditor,,Affluent Customer,No,No,15.0
39,2013,Girault,Girault,Female,99,1995-08-10,Registered Nurse,Health,Affluent Customer,No,Yes,19.0
40,2031,Albone,Albone,Male,99,1987-01-21,Geologist III,,Mass Customer,No,No,12.0
41,1132,Darkott,Darkott,Female,99,1985-08-01,Actuary,Financial Services,Affluent Customer,No,Yes,9.0
42,227,McKeand,McKeand,Male,99,1973-08-14,Accountant I,Entertainment,Mass Customer,No,No,18.0
43,2057,Sally,Sally,Female,99,1959-10-04,Accounting Assistant IV,Manufacturing,Affluent Customer,No,Yes,15.0
44,1979,Cariss,Cariss,Male,98,1960-05-15,Statistician III,Manufacturing,Mass Customer,No,Yes,11.0
45,2032,Chicchelli,Chicchelli,Male,98,1983-09-09,Quality Control Specialist,Property,Mass Customer,No,Yes,9.0
46,1932,Enefer,Enefer,Female,98,1977-01-03,Librarian,Entertainment,Affluent Customer,No,Yes,3.0
47,576,Eakle,Eakle,Male,98,1977-05-19,Recruiter,Retail,Mass Customer,No,Yes,7.0
48,3671,Deshorts,Deshorts,Female,98,1992-01-05,Programmer Analyst III,,Affluent Customer,No,No,7.0
49,1889,,,Male,98,1973-07-07,Quality Control Specialist,Retail,Affluent Customer,No,No,11.0
50,1830,Antognazzi,Antognazzi,Male,98,1985-04-30,Software Consultant,Manufacturing,High Net Worth,No,No,12.0
51,1810,Terris,Terris,Male,98,1959-05-06,Geological Engineer,Manufacturing,High Net Worth,No,No,16.0
52,2111,Vokes,Vokes,Male,98,1973-12-28,Speech Pathologist,Property,Affluent Customer,No,Yes,12.0
53,1808,Carren,Carren,Male,98,1965-12-15,Information Systems Manager,Retail,High Net Worth,No,No,17.0
54,2217,Juris,Juris,Male,98,1981-10-17,Paralegal,Financial Services,Mass Customer,No,No,16.0
55,2180,Trevaskus,Trevaskus,Male,98,1960-01-11,Chief Design Engineer,,High Net Worth,No,Yes,13.0
56,3560,Bonin,Bonin,Male,98,1980-09-01,Structural Analysis Engineer,Retail,Mass Customer,No,Yes,7.0
57,365,Capitano,Capitano,Female,98,1976-06-27,VP Quality Control,Property,High Net Worth,No,No,15.0
58,3107,Tremathick,Tremathick,Female,98,1960-08-15,Legal Assistant,,High Net Worth,No,No,9.0
59,3035,Caldecot,Caldecot,Male,98,1980-04-15,Associate Professor,Health,High Net Worth,No,No,13.0
60,3019,Ceyssen,Ceyssen,Male,98,1986-02-02,Community Outreach Specialist,Manufacturing,Affluent Customer,No,Yes,14.0
61,254,Rubi,Rubi,Female,98,1961-09-22,Information Systems Manager,Retail,Mass Customer,No,No,14.0
62,3199,Neasam,Neasam,Female,98,1969-08-31,Product Engineer,,Mass Customer,No,Yes,15.0
63,325,Ghilardini,Ghilardini,Female,98,1971-09-26,Computer Systems Analyst I,Financial Services,Affluent Customer,No,Yes,17.0
64,2859,Goodlad,Goodlad,Female,98,1994-02-04,Assistant Professor,Argiculture,High Net Worth,No,No,5.0
65,2844,Felgate,Felgate,Female,98,1975-11-22,,Financial Services,Mass Customer,No,Yes,13.0
66,2823,Antognazzi,Antognazzi,Male,98,1971-04-20,Budget/Accounting Analyst IV,Property,Mass Customer,No,No,7.0
67,3284,Cerman,Cerman,Female,98,1991-08-28,Chief Design Engineer,Retail,Affluent Customer,No,No,2.0
68,3293,Woodstock,Woodstock,Female,98,1986-01-22,Automation Specialist IV,,High Net Worth,No,No,17.0
69,378,Yuille,Yuille,Female,98,1974-05-04,Senior Developer,Retail,Mass Customer,No,No,17.0
70,2306,Tregunna,Tregunna,Female,98,1960-04-19,Paralegal,Financial Services,High Net Worth,No,Yes,9.0
71,206,Chevolleau,Chevolleau,Female,98,1954-07-19,Statistician I,,Mass Customer,No,Yes,14.0
72,396,Iscowitz,Iscowitz,Female,98,1967-01-25,Systems Administrator III,Telecommunications,High Net Worth,No,Yes,16.0
73,3366,Gregolotti,Gregolotti,Male,98,1975-02-26,Technical Writer,Manufacturing,Mass Customer,No,Yes,14.0
74,2582,Pavey,Pavey,Male,98,1977-08-10,Director of Sales,Health,Mass Customer,No,No,7.0
75,2562,Withams,Withams,Male,98,1980-09-26,Internal Auditor,Retail,Mass Customer,No,No,13.0
76,447,Peasey,Peasey,Female,98,2001-11-06,Help Desk Technician,Argiculture,Mass Customer,No,Yes,1.0
77,2508,Borkett,Borkett,Male,98,1996-11-04,Information Systems Manager,,Mass Customer,No,No,3.0
78,2494,Emm,Emm,Female,98,1974-08-08,Senior Sales Associate,Manufacturing,High Net Worth,No,No,16.0
79,92,Judkins,Judkins,Female,98,1980-09-11,Recruiting Manager,Health,Mass Customer,No,No,12.0
80,2368,Losbie,Losbie,Female,98,1993-01-22,Chemical Engineer,Manufacturing,Mass Customer,No,No,10.0
81,507,Jakubczyk,Jakubczyk,Female,98,1971-07-05,,Health,Mass Customer,No,No,7.0
82,1772,Foulis,Foulis,Male,98,1984-07-07,Financial Analyst,Financial Services,High Net Worth,No,Yes,14.0
83,3142,Kliner,Kliner,Male,98,1992-08-04,Electrical Engineer,Manufacturing,Mass Customer,No,No,6.0
84,3901,Bavin,Bavin,Female,98,1974-05-14,Marketing Manager,Argiculture,High Net Worth,No,No,12.0
85,1053,Stanyland,Stanyland,Male,98,1962-05-20,,Manufacturing,Mass Customer,No,Yes,8.0
86,727,Duerden,Duerden,Male,98,1978-10-10,Senior Editor,Manufacturing,Mass Customer,No,No,3.0
87,1160,Nisuis,Nisuis,Female,98,1965-04-08,Speech Pathologist,IT,Affluent Customer,No,No,10.0
88,804,Seater,Seater,Female,98,1999-06-17,Technical Writer,,High Net Worth,No,Yes,1.0
89,1504,Corneck,Corneck,Male,98,1975-01-03,Data Coordiator,Property,Affluent Customer,No,Yes,13.0
90,46,Allin,Allin,Female,98,1972-02-26,,,Affluent Customer,No,Yes,15.0
91,455,Dionisii,Dionisii,Male,97,1991-11-02,Civil Engineer,Manufacturing,Mass Customer,No,Yes,5.0
92,2746,Egle of Germany,Egle of Germany,Female,97,1953-10-25,Actuary,Financial Services,High Net Worth,No,Yes,7.0
93,355,Gullane,Gullane,Female,97,1979-06-01,Database Administrator II,Retail,Mass Customer,No,Yes,3.0
94,3431,Calbreath,Calbreath,Male,97,1996-08-10,Community Outreach Specialist,Property,Affluent Customer,No,No,5.0
95,1511,Trehearne,Trehearne,Male,97,1990-07-08,Internal Auditor,Financial Services,Mass Customer,No,No,4.0
96,1456,Croall,Croall,Male,97,1964-12-11,Health Coach II,Property,Mass Customer,No,Yes,6.0
97,1164,Mowat,Mowat,Female,97,1977-01-09,Food Chemist,Health,Mass Customer,No,Yes,17.0
98,583,Haysham,Haysham,Male,97,1986-04-14,Registered Nurse,Health,Mass Customer,No,No,4.0
99,3553,Geggie,Geggie,Male,97,1974-12-29,Graphic Designer,Health,Mass Customer,No,No,10.0
100,1507,Benkin,Benkin,Male,97,1977-11-10,,Manufacturing,High Net Worth,No,Yes,22.0
101,3329,Leal,Leal,Female,97,1974-08-06,,,High Net Worth,No,No,13.0
102,389,Scrivner,Scrivner,Female,97,1975-04-27,Help Desk Operator,Entertainment,Affluent Customer,No,Yes,17.0
103,2135,Laurant,Laurant,Male,97,1980-09-18,Structural Engineer,,Mass Customer,No,Yes,15.0
104,187,Ather,Ather,Male,97,1954-01-28,Structural Engineer,,Mass Customer,No,No,11.0
