,customer_id,address,postcode,state,country,property_valuation,transaction_date,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,product_first_sold_date,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure
0,1,060 Morning Avenue,2016,New South Wales,Australia,10,2017-12-23,False,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,38482.0,Medendorp,Medendorp,Female,93.0,1953-10-12,Executive Secretary,Health,Mass Customer,No,Yes,11.0
1,1,060 Morning Avenue,2016,New South Wales,Australia,10,2017-12-14,True,Approved,Giant Bicycles,Standard,medium,medium,230.91,173.18,37337.0,Medendorp,Medendorp,Female,93.0,1953-10-12,Executive Secretary,Health,Mass Customer,No,Yes,11.0
2,1,060 Morning Avenue,2016,New South Wales,Australia,10,2017-12-09,True,Approved,OHM Cycles,Road,medium,medium,742.54,667.4,37838.0,Medendorp,Medendorp,Female,93.0,1953-10-12,Executive Secretary,Health,Mass Customer,No,Yes,11.0
3,1,060 Morning Avenue,2016,New South Wales,Australia,10,2017-06-04,True,Approved,Giant Bicycles,Standard,medium,medium,642.7,211.37,40618.0,Medendorp,Medendorp,Female,93.0,1953-10-12,Executive Secretary,Health,Mass Customer,No,Yes,11.0
4,1,060 Morning Avenue,2016,New South Wales,Australia,10,2017-05-19,False,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,33552.0,Medendorp,Medendorp,Female,93.0,1953-10-12,Executive Secretary,Health,Mass Customer,No,Yes,11.0
5,1,060 Morning Avenue,2016,New South Wales,Australia,10,2017-05-11,True,Approved,Trek Bicycles,Road,low,small,1720.7,1531.42,37823.0,Medendorp,Medendorp,Female,93.0,1953-10-12,Executive Secretary,Health,Mass Customer,No,Yes,11.0
6,1,060 Morning Avenue,2016,New South Wales,Australia,10,2017-04-06,True,Approved,Solex,Standard,medium,medium,1577.53,826.51,39526.0,Medendorp,Medendorp,Female,93.0,1953-10-12,Executive Secretary,Health,Mass Customer,No,Yes,11.0
7,1,060 Morning Avenue,2016,New South Wales,Australia,10,2017-03-29,True,Approved,Giant Bicycles,Standard,high,medium,1274.93,764.96,35378.0,Medendorp,Medendorp,Female,93.0,1953-10-12,Executive Secretary,Health,Mass Customer,No,Yes,11.0
8,1,060 Morning Avenue,2016,New South Wales,Australia,10,2017-03-27,False,Approved,Norco Bicycles,Mountain,low,small,688.63,612.88,33455.0,Medendorp,Medendorp,Female,93.0,1953-10-12,Executive Secretary,Health,Mass Customer,No,Yes,11.0
9,1,060 Morning Avenue,2016,New South Wales,Australia,10,2017-02-21,False,Approved,Solex,Standard,medium,medium,71.49,53.62,38573.0,Medendorp,Medendorp,Female,93.0,1953-10-12,Executive Secretary,Health,Mass Customer,No,Yes,11.0
10,1,060 Morning Avenue,2016,New South Wales,Australia,10,2017-01-05,False,Approved,Norco Bicycles,Standard,medium,medium,360.4,270.3,37873.0,Medendorp,Medendorp,Female,93.0,1953-10-12,Executive Secretary,Health,Mass Customer,No,Yes,11.0
11,2,6 Meadow Vale Court,2153,New South Wales,Australia,10,2017-08-24,False,Approved,WeareA2B,Standard,medium,medium,1992.93,762.63,37337.0,Bockman,Bockman,Male,81.0,1980-12-16,Administrative Officer,Financial Services,Mass Customer,No,Yes,16.0
12,2,6 Meadow Vale Court,2153,New South Wales,Australia,10,2017-06-11,False,Approved,WeareA2B,Standard,medium,medium,752.64,205.36,38206.0,Bockman,Bockman,Male,81.0,1980-12-16,Administrative Officer,Financial Services,Mass Customer,No,Yes,16.0
13,2,6 Meadow Vale Court,2153,New South Wales,Australia,10,2017-05-04,True,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,40784.0,Bockman,Bockman,Male,81.0,1980-12-16,Administrative Officer,Financial Services,Mass Customer,No,Yes,16.0
